0:0:0:0:0:0:0:1 - - [27/Jul/2020:11:23:37 +0530] - 400 - - - 0.000
0:0:0:0:0:0:0:1 - - [27/Jul/2020:11:23:37 +0530] - 400 - - - 0.000
0:0:0:0:0:0:0:1 - - [27/Jul/2020:11:23:37 +0530] - 400 - - - 0.000
0:0:0:0:0:0:0:1 - - [27/Jul/2020:11:23:42 +0530] GET /carbon/admin/js/jquery.ui.tabs.min.js HTTP/1.1 200 3594 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36 0.004
0:0:0:0:0:0:0:1 - - [27/Jul/2020:11:23:42 +0530] GET /carbon/admin/js/jquery.ui.widget.min.js HTTP/1.1 200 1344 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36 0.030
0:0:0:0:0:0:0:1 - - [27/Jul/2020:11:23:42 +0530] GET /carbon/admin/js/cookies.js HTTP/1.1 200 1136 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36 0.018
0:0:0:0:0:0:0:1 - - [27/Jul/2020:11:23:42 +0530] GET /carbon/admin/js/jquery-1.6.3.min.js HTTP/1.1 200 32564 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36 0.069
0:0:0:0:0:0:0:1 - - [27/Jul/2020:11:23:42 +0530] GET /carbon/admin/js/main.js HTTP/1.1 200 15412 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36 0.031
0:0:0:0:0:0:0:1 - - [27/Jul/2020:11:23:42 +0530] GET /carbon/admin/js/WSRequest.js HTTP/1.1 200 12981 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36 0.037
0:0:0:0:0:0:0:1 - - [27/Jul/2020:11:23:42 +0530] GET /carbon/dialog/js/dialog.js HTTP/1.1 200 2644 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36 0.014
0:0:0:0:0:0:0:1 - - [27/Jul/2020:11:23:42 +0530] GET /carbon/admin/js/customControls.js HTTP/1.1 200 1193 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36 0.024
0:0:0:0:0:0:0:1 - - [27/Jul/2020:11:23:42 +0530] GET /carbon/yui/build/yahoo-dom-event/yahoo-dom-event.js HTTP/1.1 200 10684 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36 0.016
0:0:0:0:0:0:0:1 - - [27/Jul/2020:11:23:42 +0530] GET /carbon/yui/build/animation/animation-min.js HTTP/1.1 200 4768 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36 0.013
0:0:0:0:0:0:0:1 - - [27/Jul/2020:11:23:42 +0530] GET /carbon/admin/js/csrfPrevention.js HTTP/1.1 200 4370 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36 0.114
0:0:0:0:0:0:0:1 - - [27/Jul/2020:11:23:42 +0530] GET /carbon/yui/build/selector/selector-min.js HTTP/1.1 200 2895 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36 0.005
0:0:0:0:0:0:0:1 - - [27/Jul/2020:11:23:42 +0530] GET /carbon/yui/build/yahoo/yahoo-min.js HTTP/1.1 200 2523 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36 0.006
0:0:0:0:0:0:0:1 - - [27/Jul/2020:11:23:42 +0530] GET /carbon/admin/js/template.js HTTP/1.1 200 3501 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36 0.008
0:0:0:0:0:0:0:1 - - [27/Jul/2020:11:23:42 +0530] POST /carbon/admin/js/csrfPrevention.js HTTP/1.1 200 52 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36 0.002
0:0:0:0:0:0:0:1 - - [27/Jul/2020:11:23:42 +0530] GET /carbon/admin/images/user-guide.gif HTTP/1.1 200 2228 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36 0.005
0:0:0:0:0:0:0:1 - - [27/Jul/2020:11:23:42 +0530] GET /carbon/admin/images/issue-tracker.gif HTTP/1.1 200 1821 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36 0.008
0:0:0:0:0:0:0:1 - - [27/Jul/2020:11:23:42 +0530] GET /carbon/admin/images/1px.gif HTTP/1.1 200 43 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36 0.010
0:0:0:0:0:0:0:1 - - [27/Jul/2020:11:23:42 +0530] GET /carbon/admin/images/mailing-list.gif HTTP/1.1 200 2131 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36 0.009
0:0:0:0:0:0:0:1 - - [27/Jul/2020:11:23:42 +0530] GET /carbon/admin/images/forum.gif HTTP/1.1 200 1977 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36 0.010
